Location,Scene,Offence,Year or Month,Measure,Value,Flags
"Bay Of Plenty District","Total Scene","Public order offences","2014","Recorded",2902,
"Bay Of Plenty District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",1298,
"Bay Of Plenty District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",1524,
"Bay Of Plenty District","Total Scene","Miscellaneous offences","2013","Recorded",118,
"Bay Of Plenty District","Total Scene","Miscellaneous offences","2014","Recorded",123,
"Bay Of Plenty District","Total Scene","Total Offences","2013","Resolved",16474,
"Bay Of Plenty District","Total Scene","Homicide and related offences","2013","Resolved",3,
"Bay Of Plenty District","Total Scene","Homicide and related offences","2014","Resolved",4,
"Bay Of Plenty District","Total Scene","Acts intended to cause injury","2013","Resolved",2959,
"Bay Of Plenty District","Total Scene","Acts intended to cause injury","2014","Resolved",2950,
"Bay Of Plenty District","Total Scene","Sexual assault and related offences","2013","Resolved",144,
"Bay Of Plenty District","Total Scene","Sexual assault and related offences","2014","Resolved",234,
"Bay Of Plenty District","Total Scene","Dangerous or negligent acts endangering persons","2013","Resolved",49,
"Bay Of Plenty District","Total Scene","Dangerous or negligent acts endangering persons","2014","Resolved",44,
"Bay Of Plenty District","Total Scene","Abduction, harassment and other related offences against a person","2013","Resolved",807,
"Bay Of Plenty District","Total Scene","Abduction, harassment and other related offences against a person","2014","Resolved",847,
"Bay Of Plenty District","Total Scene","Robbery, extortion and related offences","2013","Resolved",82,
"Bay Of Plenty District","Total Scene","Robbery, extortion and related offences","2014","Resolved",70,
